ID,Container_ID,Familiar_diet,Genetic_line,Treatment,Sex,Replicate,List,Body weight,bw,Head width,Scutum length,ow,ow_g,ag,ag_g,tw,tw_g,lg_bw,lg_ow,lg_tw,lg_ag,GSI,ag_gonad_ratio,Operator
SWS_FW3_20,SW_FW_3,CF,SW,FW,M,3,j,0.06629,66.29,53,77,,,2.07,0.00207,2.19,0.00219,1.821448019,,0.340444115,0.315970345,0.033036657,0.945205479,Y
SWS_FW3_23,SW_FW_3,CF,SW,FW,M,3,k,0.05785,57.85,51,73,,,2.72,0.00272,1.42,0.00142,1.762303363,,0.152288344,0.434568904,0.02454624,1.915492958,Y
SWS_FW2_27,SW_FW_2,CF,SW,FW,M,2,a,0.07213,72.13,54,79,,,4.41,0.00441,2.66,0.00266,1.858115932,,0.424881637,0.644438589,0.036877859,1.657894737,Y
SWS_FW2_14,SW_FW_2,CF,SW,FW,M,2,b,0.06155,61.55,52,76,,,3.18,0.00318,1.68,0.00168,1.789228057,,0.225309282,0.50242712,0.027294882,1.892857143,N
SWS_FW2_16,SW_FW_2,CF,SW,FW,M,2,c,0.06713,67.13,51,72,,,3.04,0.00304,1.29,0.00129,1.826916647,,0.11058971,0.482873584,0.019216446,2.356589147,N
SWS_FW2_18,SW_FW_2,CF,SW,FW,M,2,d,0.0768,76.8,54,78,,,4.76,0.00476,1.72,0.00172,1.88536122,,0.235528447,0.677606953,0.022395833,2.76744186,N
SWS_FW2_22,SW_FW_2,CF,SW,FW,M,2,e,0.05691,56.91,50,71,,,3.49,0.00349,1.53,0.00153,1.755188586,,0.184691431,0.542825427,0.026884555,2.281045752,N
SWS_FW2_25,SW_FW_2,CF,SW,FW,M,2,f,0.06075,60.75,51,72,,,5.35,0.00535,2.09,0.00209,1.783546282,,0.320146286,0.728353782,0.034403292,2.559808612,N
SWS_FW2_41,SW_FW_2,CF,SW,FW,M,2,g,0.06055,60.55,53,75,,,3.77,0.00377,2.17,0.00217,1.782114147,,0.336459734,0.57634135,0.03583815,1.737327189,N
SWS_FW2_42,SW_FW_2,CF,SW,FW,M,2,h,0.05712,57.12,53,74,,,4.11,0.00411,1.93,0.00193,1.756788199,,0.285557309,0.613841822,0.033788515,2.129533679,N
SWS_FW2_04,SW_FW_2,CF,SW,FW,M,2,j,0.05247,52.47,49,71,,,1.87,0.00187,0.95,0.00095,1.719911064,,-0.022276395,0.271841607,0.018105584,1.968421053,Y
SWS_FW2_49,SW_FW_2,CF,SW,FW,M,2,l,0.04489,44.89,48,68,,,2.45,0.00245,1.9,0.0019,1.652149605,,0.278753601,0.389166084,0.042325685,1.289473684,N
SWS_FW2_51,SW_FW_2,CF,SW,FW,M,2,m,0.0695,69.5,53,84,,,4.49,0.00449,2.49,0.00249,1.841984805,,0.396199347,0.652246341,0.035827338,1.803212851,N
A_FW1_18,A_FW_1,FW,A,FW,F,1,a,0.08654,86.54,57,75,7.37,0.00737,2.35,0.00235,,,1.937216891,0.867467488,,0.371067862,0.08516293,0.318860244,Y
A_FW1_05,A_FW_1,FW,A,FW,F,1,b,0.08638,86.38,57,77,5.72,0.00572,1.16,0.00116,,,1.9364132,0.757396029,,0.064457989,0.066219032,0.202797203,Y
A_FW1_45,A_FW_1,FW,A,FW,F,1,c,0.09768,97.68,55,76,9.31,0.00931,2.67,0.00267,,,1.989805651,0.968949681,,0.426511261,0.09531122,0.2867884,Y
A_FW1_14,A_FW_1,FW,A,FW,F,1,d,0.09897,98.97,58,79,8.08,0.00808,2.69,0.00269,,,1.99550357,0.907411361,,0.42975228,0.081640901,0.332920792,Y
A_FW1_41,A_FW_1,FW,A,FW,F,1,e,0.09164,91.64,56,75,9.47,0.00947,2.42,0.00242,,,1.962085081,0.976349979,,0.383815366,0.103339153,0.255543823,Y
A_FW1_62,A_FW_1,FW,A,FW,F,1,f,0.10074,100.74,57,78,12.43,0.01243,2.05,0.00205,,,2.003201947,1.094471129,,0.311753861,0.123386937,0.164923572,Y
A_FW1_40,A_FW_1,FW,A,FW,F,1,g,0.08805,88.05,57,78,5.25,0.00525,1.77,0.00177,,,1.94472936,0.720159303,,0.247973266,0.059625213,0.337142857,Y
A_FW1_44,A_FW_1,FW,A,FW,F,1,h,0.10216,102.16,58,79,10.25,0.01025,1.72,0.00172,,,2.009280884,1.010723865,,0.235528447,0.100332811,0.167804878,Y
A_FW1_16,A_FW_1,FW,A,FW,F,1,j,0.10084,100.84,58,80,6.98,0.00698,1.91,0.00191,,,2.003632837,0.843855423,,0.281033367,0.069218564,0.273638968,Y
A_FW1_43,A_FW_1,FW,A,FW,F,1,k,0.09412,94.12,58,80,8.17,0.00817,3.16,0.00316,,,1.973681919,0.912222057,,0.499687083,0.08680408,0.386780906,Y
